ra,dec,r_auto,mn170_pS
10.6891,0.977,15.19,0.0019311447
38.1462,1.0942,15.19,0.045121215
53.3814,0.6994,15.2,0.99436635
48.0379,0.0314,15.2,0.99427587
344.663,1.2158,15.2,0.0028400456
17.5714,0.3448,15.2,0.012926075
38.0428,1.2475,15.2,0.0918762
18.8799,0.2992,15.21,0.0027095694
14.0981,-0.9869,15.21,0.019899286
16.0304,-0.97,15.21,0.931413
330.2204,-0.7314,15.22,0.9943586
46.9677,0.4764,15.22,0.9936744
1.6202,-0.7841,15.22,0.99436474
326.8952,0.7733,15.22,0.0037356773
339.4845,-0.9768,15.22,0.7797231
21.4116,0.4345,15.22,0.9941056
16.7557,0.9099,15.22,0.0018319293
327.7121,-0.8478,15.23,0.9942849
18.8981,1.1443,15.23,0.88185817
18.6955,0.5247,15.23,0.9943514
14.3812,0.7656,15.23,0.013274213
22.8455,-0.6741,15.23,0.99436635
49.4574,-0.5547,15.23,0.98430437
38.6616,-1.1322,15.23,0.091592886
56.1398,-0.5962,15.24,0.0019687123
54.6905,1.168,15.24,0.0019017237
340.7649,-0.1435,15.24,0.0147419125
21.1587,-0.0628,15.25,0.9943673
5.9899,-0.7269,15.25,0.9891053
338.1306,0.6876,15.25,0.0059216307
358.7433,-1.0447,15.25,0.99436706
37.951,-1.157,15.25,0.99424213
51.6942,-0.6481,15.25,0.9943539
0.8436,1.0579,15.25,0.0020555346
337.6894,-1.1576,15.25,0.0059051816
322.3058,-0.5238,15.25,0.99427766
12.1565,1.2477,15.26,0.9784136999999998
24.4048,0.0402,15.26,0.9943672
347.9146,0.443,15.26,0.9943575
1.6511,-0.4731,15.26,0.15224789
331.8076,-0.5984,15.26,0.99436706
346.4232,0.2935,15.26,0.9941758
29.2277,-1.1147,15.27,0.9903142
4.4808,0.3353,15.27,0.99435943
39.508,0.3235,15.27,0.010167996
356.2702,-0.2708,15.27,0.9943673
47.1429,0.5509,15.27,0.004522548
56.624,0.7188,15.27,0.97570974
44.0918,-0.1532,15.27,0.9943593
46.347,-0.2421,15.28,0.9943672
28.9597,0.722,15.28,0.99424875
336.785,-0.7271,15.28,0.98965573
328.2461,-0.1509,15.28,0.8096108
345.7218,1.1276,15.28,0.9942821
44.2987,-0.223,15.28,0.99341184
353.4074,-0.3572,15.28,0.97663707
46.6365,-0.5608,15.29,0.0046553398
8.9287,1.2171,15.29,0.99400795
30.4924,-0.9977,15.29,0.99420035
32.6383,0.7383,15.29,0.9943673
6.231,0.5303,15.3,0.9943666
47.1187,0.3877,15.3,0.99436706
9.2671,-1.1523,15.3,0.09121391
32.162,0.1285,15.3,0.9940754
348.1337,-0.1102,15.3,0.9879538
43.8474,-0.0088,15.3,0.9943634
318.4332,0.5749,15.31,0.9943591
43.3325,-1.1333,15.31,0.9943673
348.7568,0.0723,15.31,0.99432725
319.9198,0.121,15.32,0.9943668
52.7084,0.522,15.32,0.12642643
333.3145,-0.6337,15.32,0.0020763734
47.0227,-0.9785,15.32,0.95347685
45.1562,-1.1262,15.32,0.9942966
46.4014,0.4601,15.33,0.994354
28.2051,-1.0017,15.33,0.014687994
7.7634,-0.7755,15.33,0.9346043
41.7258,-0.5652,15.33,0.35392594
25.3413,0.3712,15.33,0.9937163
19.7269,-0.6832,15.34,0.99436617
351.6296,0.8371,15.34,0.9943655999999998
16.1396,-0.3201,15.34,0.0022949066
24.6693,-0.1593,15.34,0.9942154
28.8995,-0.3912,15.34,0.7441875
355.8949,0.5678,15.35,0.001891403
10.0863,0.8809,15.35,0.0021911603
331.3434,-0.4957,15.36,0.08517845
317.6327,0.895,15.36,0.0022350897
321.9152,-1.1022,15.36,0.99436617
352.6361,-0.1372,15.36,0.99436694
323.8713,0.2683,15.36,0.002118853
54.597,-1.1841,15.37,0.005440539
349.8118,1.0072,15.37,0.994284
333.3543,-0.1392,15.37,0.0023508025
18.837,0.2593,15.37,0.994306
352.9632,-0.9638,15.37,0.9943673
47.2525,-0.9823,15.37,0.9943673
40.526,-0.8933,15.38,0.9943634
48.1652,-1.0475,15.38,0.004340065
18.7805,0.4659,15.38,0.24454686
346.6947,-0.3223,15.38,0.9943667
14.0139,-0.828,15.39,0.99411184
54.0456,-0.5820000000000001,15.39,0.001899285
325.9695,-0.9826,15.39,0.99433005
42.0327,-0.7523,15.39,0.9943673
44.1685,-0.9373,15.39,0.99431664
346.7854,-0.4811,15.39,0.9943666
19.6483,-0.233,15.4,0.9943673
311.6072,-0.792,15.4,0.008304088
322.523,-0.9558,15.4,0.994027
13.4392,0.9269,15.4,0.0019184191
339.8172,-0.993,15.4,0.020802373
314.1735,-0.8183,15.4,0.70945466
20.9781,0.2824,15.41,0.99409544
55.9897,0.4379,15.41,0.0018863316
20.0019,-0.474,15.41,0.99405706
36.2727,-0.6039,15.41,0.39527944
14.1494,-0.5311,15.41,0.98768395
358.5574,0.357,15.41,0.32927573
312.2812,1.1441,15.42,0.98939896
42.3708,-0.5673,15.42,0.0054907403
309.7794,0.5547,15.42,0.9741983
11.907,-0.1213,15.42,0.9938054
4.2866,-0.958,15.42,0.9943673
13.0176,0.0933,15.42,0.99436283
52.6198,0.8115,15.42,0.9943673
1.8342,0.4926,15.42,0.002107285
13.8067,-1.0759999999999998,15.43,0.9943673
25.8435,-0.9472,15.44,0.0030784472
5.1222,-0.555,15.44,0.9943171
322.501,-0.5263,15.44,0.990831
353.4308,-0.5697,15.44,0.9943351
8.5957,0.276,15.44,0.0020893577
327.521,0.3993,15.44,0.12405598
346.4955,0.8703,15.45,0.9943566
11.1979,-0.4274,15.45,0.0018229957
46.6125,-0.8468,15.45,0.983033
18.7258,0.5074,15.45,0.8863661
18.6305,0.7918,15.45,0.9943663
18.6069,0.5361,15.45,0.9943673
23.1061,0.9767,15.46,0.9943652
45.4757,0.8636,15.46,0.992706
56.699,-1.232,15.46,0.9940714
39.6671,0.4841,15.46,0.99436706
30.556,-0.8512,15.46,0.9607055
47.4927,-0.5667,15.46,0.7929183000000001
354.1066,1.0799,15.46,0.0019458891
12.6827,1.0273,15.46,0.0035570909
48.4357,-0.3856,15.47,0.9897546
38.4846,0.9239,15.47,0.99436694
40.3956,1.2348,15.47,0.99431074
326.5612,1.1422,15.48,0.001919009
34.4786,0.2519,15.48,0.9943672
347.0384,0.176,15.48,0.0021773465
334.1965,-0.8352,15.49,0.0017995429
357.9039,0.8854,15.49,0.039098028
328.42800000000005,0.1399,15.49,0.9943652
46.1699,-0.1201,15.49,0.9943673
312.0236,0.0688,15.49,0.9943575
18.7729,0.3222,15.49,0.98896897
23.1965,1.2627,15.49,0.001964641
313.4816,-0.643,15.49,0.0019283125
2.7678,-0.992,15.49,0.99129206
41.6137,-0.6585,15.49,0.99435
316.0327,-0.7701,15.5,0.005878922
52.713,-1.195,15.5,0.0058857207
356.3288,-0.1471,15.5,0.99426234
30.7147,0.0874,15.5,0.09175335
343.2687,1.1445,15.5,0.8871950000000001
49.0882,0.4795,15.5,0.9806176
14.2945,-1.0187,15.51,0.061682787
327.6005,1.1163,15.51,0.9898107
47.7875,0.2353,15.51,0.99052244
42.3913,-0.5885,15.51,0.0031088502
319.5036,0.5708,15.51,0.006700762
40.4618,-0.8407,15.52,0.0019109031
28.5259,0.9506,15.52,0.99436283
338.4105,-0.0083,15.52,0.0020066232
41.8463,0.0588,15.52,0.0034785147
42.4555,-0.7934,15.52,0.9943304
41.4316,-0.5393,15.52,0.9943672
20.9171,0.6824,15.53,0.9943667
349.7095,0.9971,15.53,0.0109414235
327.4738,0.6069,15.53,0.8445845
11.6008,0.0024,15.53,0.0018126173
41.8667,0.6519,15.53,0.9943468
51.2289,0.606,15.53,0.004692353
319.1671,-0.7737,15.53,0.0017988287
338.3261,0.4755,15.53,0.97530603
56.0773,-0.393,15.54,0.99430895
17.898,0.4623,15.55,0.9943672
9.7358,0.2993,15.55,0.54677165
13.8594,0.606,15.55,0.018088717
48.1721,1.0089,15.55,0.9943673
345.3114,1.2195,15.55,0.0020900955
28.1968,1.1055,15.55,0.10389241
37.7792,-1.1052,15.55,0.9943403
338.3093,-0.8292,15.55,0.0018487375
314.4808,0.1198,15.55,0.9940796
313.6004,-0.8088,15.55,0.0018072168
321.072,1.0284,15.56,0.9940831
15.349,-0.9529,15.56,0.98392916
19.779,-1.2648,15.56,0.99416816
309.7055,0.6909,15.57,0.0018746832
357.5864,-0.4097,15.57,0.9943663
333.4723,0.6955,15.57,0.9943672
359.1611,1.0831,15.57,0.98785025
16.8082,0.7928,15.57,0.9816814
9.5884,0.1056,15.58,0.99431807
39.8297,0.2484,15.58,0.0037192164
30.9916,-0.9711,15.58,0.8845489
351.087,1.261,15.58,0.9771846
12.7319,0.6508,15.58,0.0020960863
32.1591,-1.243,15.58,0.99292785
38.9363,-0.1881,15.58,0.00183982
5.0199,-0.2016,15.58,0.0023085163
29.6459,-0.4855,15.58,0.9673216
324.2683,-0.5833,15.59,0.99431545
341.0988,-0.8844,15.59,0.18485744
336.5073,0.6809999999999999,15.59,0.9866948
49.8457,0.8235,15.59,0.9943673
37.9107,-1.0826,15.59,0.99436164
326.8141,0.7244,15.6,0.2455134
20.2353,-0.1056,15.6,0.002110917
330.7238,-0.7845,15.6,0.049326375
15.2865,0.0393,15.6,0.0019401136
11.9205,-0.8575,15.6,0.11062391
353.6509,0.6404,15.6,0.0018124612
340.6245,-0.3927,15.6,0.9943672
30.7327,0.7407,15.61,0.22075348
45.7044,-1.2434,15.61,0.01692117
322.6079,-0.4742,15.61,0.99201643
26.5529,-0.6434,15.61,0.0023801222
22.6518,0.4586,15.61,0.008509199
47.0293,0.4562,15.61,0.7918653
6.1298,-0.9228,15.61,0.003779334
48.2629,0.356,15.61,0.9943668
15.2664,0.0507,15.62,0.26269117
58.0818,0.3758,15.62,0.99291855
45.2732,0.7559999999999999,15.62,0.9713324
355.8678,-0.0303,15.62,0.9943673
30.9729,-0.9766,15.62,0.0020820692
30.4885,-1.1311,15.63,0.9935828
12.1082,1.2489,15.63,0.8112901
22.3606,-1.1997,15.63,0.9943673
333.2133,-1.0972,15.63,0.9878562
14.9708,-0.7931,15.63,0.008505634
5.7084,0.7711,15.64,0.0020836547
322.2626,-0.4733,15.64,0.9943673
50.6366,-0.001,15.64,0.7721664
324.7521,-0.5143,15.64,0.9942741
317.0896,-1.137,15.64,0.3052389
51.4356,-0.5085,15.64,0.39451972
353.1258,-0.4908,15.64,0.3284294
347.2876,-0.8717,15.64,0.99372596
10.2188,-0.279,15.64,0.9871601
19.8963,0.4671,15.64,0.9942879
16.3918,-0.7515,15.64,0.0021168443
322.7094,-0.9274,15.65,0.99436635
35.3856,-0.3078,15.65,0.028100874
46.8937,-1.0494,15.65,0.99328554
16.8287,-0.7809,15.65,0.003075892
8.7856,-0.1336,15.65,0.9943673
4.6135,0.6337,15.65,0.92576563
53.1857,-1.1535,15.65,0.9809092
359.8396,0.4587,15.65,0.9124213
338.5514,0.9923,15.66,0.9943663
352.4346,0.2907,15.66,0.9909044
321.1443,0.9791,15.66,0.9915147
339.9011,-0.6912,15.66,0.99435365
43.9455,-0.1043,15.66,0.9939166
354.776,-0.4375,15.66,0.9943672
6.766,0.4605,15.66,0.9943673
329.025,0.8664,15.66,0.13233505
333.0724,0.2682,15.66,0.99433327
7.385,-0.5656,15.67,0.0018346529
50.8577,-0.5720000000000001,15.67,0.99435246
24.9012,-0.4465,15.67,0.15999012
48.5707,0.9061,15.67,0.99436164
355.5651,-0.6294,15.67,0.99433595
23.917,-0.4663,15.67,0.9943672
357.0749,1.1048,15.67,0.0018311929
14.4435,-0.5823,15.67,0.0023499886
38.2536,0.6742,15.67,0.010598963
320.4442,-0.1606,15.68,0.00914198
56.7814,1.0003,15.68,0.99137723
12.4522,0.9849,15.68,0.03181094
57.2483,0.926,15.68,0.9943672
354.4338,0.3579,15.68,0.9943667
320.9252,0.9052,15.68,0.9943655999999998
333.8587,0.0735,15.68,0.99433655
43.9537,1.0793,15.68,0.994365
319.0915,1.0849,15.68,0.9943193
42.1434,-0.9932,15.69,0.9943614
41.1849,0.785,15.69,0.966698
36.1599,-1.134,15.69,0.02663309
354.1965,1.1898,15.69,0.0027591619
349.4682,0.943,15.69,0.99436635
43.4101,1.2034,15.69,0.6226673
30.0327,-1.0155,15.69,0.99393713
12.8594,0.652,15.69,0.00979188
336.5056,0.2625,15.69,0.002002609
47.8891,-0.7428,15.69,0.99427164
1.8625,0.9202,15.69,0.026034169
16.9822,-0.4164,15.69,0.0018091929
1.0909,1.0892,15.7,0.0039546937
40.2713,0.9314,15.7,0.98888063
355.5547,-0.5125,15.7,0.9943562
345.3108,1.232,15.7,0.98527235
28.431,-0.9718,15.7,0.9943615
340.0298,-0.8923,15.7,0.6405807
45.3593,-0.0737,15.7,0.35811624
357.5263,-0.4691,15.71,0.8620949
8.2319,-0.0209,15.71,0.9943668
341.5901,-0.0616,15.71,0.30557206
30.3563,1.0984,15.71,0.07683428
15.7468,0.4306,15.71,0.9932352
20.8107,-0.7007,15.72,0.99436593
32.0746,1.1008,15.72,0.99436706
317.045,-0.4742,15.72,0.98766774
52.023,0.0221,15.72,0.987914
349.96,1.0696,15.72,0.9943673
351.1862,1.0302,15.72,0.9943287
353.5126,0.3654,15.72,0.99419785
2.4016,0.8859999999999999,15.72,0.020939544
311.502,0.3921,15.72,0.0018308825
340.2427,-0.8316,15.73,0.89462596
4.1974,-0.6444,15.73,0.9497283
326.8441,0.765,15.73,0.99369496
330.2108,-0.5676,15.73,0.0052774847
30.6885,-1.099,15.73,0.5389268
18.0221,-0.1611,15.73,0.9937052
16.8467,0.672,15.73,0.07365469
22.8409,-0.5953,15.74,0.0038569348
13.4963,-1.2682,15.74,0.9129902
328.8017,0.9852,15.74,0.2897204
42.3974,-0.7236,15.74,0.9943672
53.7596,0.3818,15.74,0.35904816
18.3135,0.4373,15.74,0.9943652
13.2409,0.3688,15.74,0.993929
350.2141,-1.0113,15.74,0.9915558
39.4336,-0.7257,15.74,0.5329837
20.0067,-0.1375,15.74,0.9927383
44.602,0.6377,15.74,0.99434954
15.997,-0.7937,15.75,0.9943634
353.2603,0.8873,15.75,0.99436355
31.1604,-0.8104,15.75,0.02707405
1.7378,0.6913,15.75,0.9910433
1.7523,0.903,15.75,0.0021970805
37.3622,-0.7023,15.75,0.9632077
33.4865,0.5313,15.75,0.99436694
14.4719,0.4304,15.75,0.0028485262
6.2793,1.2394,15.75,0.021808721
312.4821,0.8997,15.75,0.00458439
39.6993,1.2226,15.75,0.97097284
39.408,-0.9056,15.75,0.9943546999999998
46.1645,-0.8415,15.75,0.9943673
339.711,0.3221,15.76,0.9943568000000002
51.473,-0.58,15.76,0.9562311
30.191,-0.9079,15.76,0.99436706
353.1053,-0.847,15.76,0.99127144
14.9735,0.3742,15.77,0.9942992
6.6376,0.5039,15.77,0.021315852
350.0914,1.2303,15.77,0.9943673
3.8793,-0.8015,15.77,0.99434704
14.5748,-1.1489,15.77,0.0018496483
27.937,1.0957,15.77,0.048658762
29.2973,-0.4739,15.77,0.024160476
350.9051,0.4234,15.78,0.1181313999999999
37.8052,1.2449,15.78,0.9943672
14.0944,-0.3451,15.78,0.9943125
26.5302,-0.6175,15.78,0.7818147
19.3525,-1.0655,15.78,0.99375206
350.5983,1.1083,15.78,0.002015932
48.5733,-0.6097,15.79,0.0018010666
346.9335,-0.7384,15.79,0.9943666
324.4042,-0.1838,15.79,0.37030154
47.593,0.4268,15.79,0.993898
48.9578,-0.3349,15.79,0.8729642
321.6661,0.3085,15.79,0.005587442
5.3469,-0.3606,15.8,0.9943634
46.5493,-1.1832,15.8,0.30934808
15.2946,-1.1664,15.8,0.8731479
56.8474,0.8754,15.8,0.99417466
56.3299,-0.5007,15.8,0.99413294
28.5486,-1.1972,15.8,0.26514378
316.8658,0.8165,15.8,0.2439744
349.2574,1.1212,15.81,0.0018773556
14.1703,-1.0345,15.81,0.9267302
344.4992,-0.9221,15.81,0.27149203
42.9776,-0.9801,15.81,0.072334714
19.4339,0.2543,15.81,0.99268085
41.0062,0.1763,15.81,0.9755559
337.2352,0.1392,15.81,0.0018094048
324.2446,0.1396,15.81,0.13463883
8.6639,-0.4129,15.82,0.0027246948
14.0456,-0.1451,15.82,0.9931786
356.2808,1.0639,15.82,0.0067967144
33.5075,-0.9774,15.82,0.9943387
325.3099,0.0214,15.82,0.9943673
19.2235,0.1532,15.82,0.99436635
321.3259,0.1849,15.82,0.055254385
52.4427,0.9819,15.82,0.08527717
344.6018,0.8999,15.83,0.07444701
318.9408,-1.0197,15.83,0.99431795
21.374,-0.7037,15.83,0.994365
42.5749,-0.3554,15.83,0.99436694
27.4928,-0.5870000000000001,15.83,0.0018277881
343.1173,0.2945,15.84,0.002227241
18.7867,0.2658,15.84,0.9932633
353.3013,0.9491,15.84,0.09734388
341.8856,0.1639999999999999,15.84,0.9811065
327.5187,0.4426,15.84,0.0068076406999999
32.648,-0.9376,15.84,0.9943488
56.0391,-0.3601,15.84,0.9943673
334.8596,0.9284,15.84,0.99431026
332.8040000000001,-1.0269,15.84,0.99435353
32.5708,-0.2633,15.84,0.9812464
18.8833,0.2898,15.85,0.8544398000000001
320.9133,-0.5488,15.85,0.9943605
327.7211,0.5974,15.85,0.0043604523
323.1925,0.3571,15.85,0.98847735
18.643,-0.4842,15.85,0.9932997
316.4886,-0.3701,15.85,0.9943467
50.7417,0.0541,15.85,0.9943672
338.2504,0.5207,15.85,0.9942034
332.55800000000005,0.9216,15.85,0.9935913
53.5741,1.0843,15.85,0.0028161444
53.5345,1.1483,15.85,0.99410135
332.9969,-0.2533,15.85,0.99417526
13.8825,-0.5302,15.86,0.0022160744
31.2908,-0.1572,15.86,0.0034530638
52.2031,0.9189,15.86,0.106406644
328.575,0.9422,15.86,0.9531765
38.6508,-0.4143,15.86,0.9940578
331.7692,-0.1,15.86,0.040643897
359.9739,0.5562,15.87,0.9942023
339.0969,-0.7906,15.87,0.99429965
41.5743,-0.6071,15.87,0.99201655
320.1905,0.7909999999999999,15.87,0.28737992
12.5102,-0.1323,15.87,0.99436635
19.3574,-0.591,15.87,0.00192047
35.6836,0.1298,15.87,0.9065897
14.1926,0.1867,15.88,0.99246854
13.8893,0.4328,15.88,0.97183627
9.5978,-0.608,15.88,0.9943663
340.0302,-0.3106,15.88,0.018202605
40.9691,0.1527,15.88,0.9943672
42.7313,0.3669,15.88,0.99436307
46.9461,0.2699,15.89,0.9943672
5.4266,-0.8756,15.89,0.002554319
21.1632,0.8345,15.89,0.988896
48.5455,1.1017,15.89,0.14061521
15.9371,-1.1768,15.89,0.017187966
16.0564,-0.5033,15.89,0.79633546
26.7534,-0.8271,15.89,0.0024260702
